timestamp,container,test_type,model,run,final verdict,turns_taken,rv_traces_used,feedback_used,verdict_pre_feedback,feedback_category,input_tokens,output_tokens,total_tokens,llm_seconds
2026-05-04T19:05:41+00:00,shardingsphereelasticjobelasticjoblitecore23a2ab6,od,claude,run 1,PASSED,2,yes,no,PASSED,,22030,2503,24533,38.6
2026-05-04T19:08:29+00:00,shardingsphereelasticjobelasticjoblitecore23a2ab6,od,claude,run 2,PASSED,2,yes,no,PASSED,,21085,2640,23725,43.4
2026-05-04T19:15:39+00:00,shardingsphereelasticjobelasticjoblitecore23a2ab6,od,openai,run 1,FAILED,4,yes,yes,FAILED,test_failed,40209,2047,42256,102.5
2026-05-04T19:21:00+00:00,shardingsphereelasticjobelasticjoblitecore23a2ab6,od,openai,run 2,PASSED,2,yes,no,PASSED,,16787,893,17680,58.4
2026-05-04T19:22:47+00:00,jnrposixd9f3f84,od,claude,run 1,PASSED,1,yes,no,PASSED,,9984,2637,12621,36.2
2026-05-04T19:24:24+00:00,jnrposixd9f3f84,od,claude,run 2,PASSED,1,yes,no,PASSED,,10290,1964,12254,33.3
2026-05-04T19:26:10+00:00,jnrposixd9f3f84,od,openai,run 1,PASSED,2,yes,no,PASSED,,16350,989,17339,41.1
2026-05-04T19:28:06+00:00,jnrposixd9f3f84,od,openai,run 2,FAILED,3,yes,yes,FAILED,compile_failed,26869,2152,29021,54.4
2026-05-04T19:30:38+00:00,dubbodubborpcdubborpcapiba89f441,od,claude,run 1,PASSED,2,yes,no,PASSED,,16464,2437,18901,42.3
2026-05-04T19:33:19+00:00,dubbodubborpcdubborpcapiba89f441,od,claude,run 2,PASSED,2,yes,no,PASSED,,16456,2565,19021,46
2026-05-04T19:36:06+00:00,dubbodubborpcdubborpcapiba89f441,od,openai,run 1,FAILED,4,yes,yes,FAILED,test_failed,31764,2035,33799,33.5
2026-05-04T19:38:03+00:00,dubbodubborpcdubborpcapiba89f441,od,openai,run 2,PASSED,2,yes,no,PASSED,,12875,863,13738,8.1
2026-05-04T19:39:26+00:00,shardingsphereelasticjobelasticjoblitecore4b9afa4,od,claude,run 1,PASSED,2,yes,no,PASSED,,15391,1780,17171,34.7
2026-05-04T19:40:51+00:00,shardingsphereelasticjobelasticjoblitecore4b9afa4,od,claude,run 2,PASSED,2,yes,no,PASSED,,15431,2025,17456,37.9
2026-05-04T19:44:07+00:00,shardingsphereelasticjobelasticjoblitecore4b9afa4,od,openai,run 1,PASSED,2,yes,no,PASSED,,11756,962,12718,8.4
2026-05-04T19:47:20+00:00,shardingsphereelasticjobelasticjoblitecore4b9afa4,od,openai,run 2,PASSED,2,yes,no,PASSED,,11760,941,12701,9.7
2026-05-04T19:48:25+00:00,wikidatatoolkitwdtkutil10f9711,od,claude,run 1,PASSED,1,yes,no,PASSED,,6874,1484,8358,22.8
2026-05-04T19:49:30+00:00,wikidatatoolkitwdtkutil10f9711,od,claude,run 2,PASSED,1,yes,no,PASSED,,6874,1340,8214,24.8
2026-05-04T19:50:29+00:00,wikidatatoolkitwdtkutil10f9711,od,openai,run 1,PASSED,2,yes,no,PASSED,,12075,904,12979,12
