"timestamp","container","test_type","model","run","final verdict","turns_taken","rv_traces_used","feedback_used","verdict_pre_feedback","feedback_category","input_tokens","output_tokens","total_tokens","llm_seconds"
"2026-05-03T23:30:18+00:00","elasticjobf0d","nio","claude","run 1","PASSED","1","yes","no","PASSED","","17451","1418","18869","20.3"
"2026-05-03T23:32:58+00:00","elasticjobf0d","nio","claude","run 2","PASSED","1","yes","no","PASSED","","9606","1902","11508","23.8"
"2026-05-03T23:35:06+00:00","elasticjobf0d","nio","openai","run 1","PASSED","2","yes","no","PASSED","","15991","940","16931","9.8"
"2026-05-03T23:38:11+00:00","elasticjobf0d","nio","openai","run 2","FAILED","4","yes","yes","FAILED","test_failed","37406","1794","39200","14.4"

"2026-05-03T23:41:23+00:00","elasticjobf0d","nio","claude","run 1","PASSED","1","no","no","PASSED","","6128","1631","7759","25.9"
"2026-05-03T23:43:54+00:00","elasticjobf0d","nio","claude","run 2","PASSED","1","no","no","PASSED","","6128","2244","8372","25.0"
"2026-05-03T23:46:10+00:00","elasticjobf0d","nio","openai","run 1","PASSED","2","no","no","PASSED","","10940","975","11915","6.6"
"2026-05-03T23:49:26+00:00","elasticjobf0d","nio","openai","run 2","FAILED","4","no","yes","FAILED","test_failed","27726","1889","29615","16.0"

"2026-05-03T23:53:09+00:00","quickcheck9a0","nio","claude","run 1","PASSED","1","yes","no","PASSED","","8645","1155","9800","16.4"
"2026-05-03T23:55:27+00:00","quickcheck9a0","nio","claude","run 2","PASSED","1","yes","no","PASSED","","8645","1083","9728","14.8"
"2026-05-03T23:57:25+00:00","quickcheck9a0","nio","openai","run 1","PASSED","2","yes","no","PASSED","","14432","744","15176","5.8"
"2026-05-03T23:59:19+00:00","quickcheck9a0","nio","openai","run 2","PASSED","2","yes","no","PASSED","","14430","659","15089","5.8"

"2026-05-04T00:02:05+00:00","quickcheck9a0","nio","claude","run 1","PASSED","1","no","no","PASSED","","7623","1643","9266","18.5"
"2026-05-04T00:04:43+00:00","quickcheck9a0","nio","claude","run 2","PASSED","1","no","no","PASSED","","7623","1719","9342","19.9"
"2026-05-04T00:06:49+00:00","quickcheck9a0","nio","openai","run 1","PASSED","2","no","no","PASSED","","12708","688","13396","10.4"
"2026-05-04T00:08:53+00:00","quickcheck9a0","nio","openai","run 2","PASSED","2","no","no","PASSED","","12816","722","13538","10.0"

"2026-05-04T00:21:25+00:00","quickcheckc1c2","nio","claude","run 1","PASSED","1","yes","no","PASSED","","5888","940","6828","14.2"
"2026-05-04T00:23:25+00:00","quickcheckc1c2","nio","claude","run 2","PASSED","1","yes","no","PASSED","","5888","950","6838","13.9"
"2026-05-04T00:25:35+00:00","quickcheckc1c2","nio","openai","run 1","PASSED","2","yes","no","PASSED","","10490","665","11155","21.9"
"2026-05-04T00:27:32+00:00","quickcheckc1c2","nio","openai","run 2","PASSED","2","yes","no","PASSED","","10492","671","11163","7.0"

"2026-05-04T00:12:10+00:00","quickcheckc1c2","nio","claude","run 1","PASSED","1","no","no","PASSED","","5319","952","6271","16.6"
"2026-05-04T00:14:06+00:00","quickcheckc1c2","nio","claude","run 2","PASSED","1","no","no","PASSED","","5319","958","6277","14.6"
"2026-05-04T00:15:55+00:00","quickcheckc1c2","nio","openai","run 1","PASSED","2","no","no","PASSED","","9472","672","10144","7.3"
"2026-05-04T00:17:48+00:00","quickcheckc1c2","nio","openai","run 2","PASSED","2","no","no","PASSED","","9480","649","10129","8.5"

"2026-05-04T00:30:34+00:00","elasticjob294","nio","claude","run 1","PASSED","3","yes","yes","FAILED","compile_failed","32764","5404","38168","64.8"
"2026-05-04T00:33:00+00:00","elasticjob294","nio","claude","run 2","PASSED","2","yes","no","PASSED","","18711","3791","22502","63.6"
"2026-05-04T00:35:01+00:00","elasticjob294","nio","openai","run 1","FAILED","4","yes","yes","FAILED","compile_failed","33444","1735","35179","15.3"
"2026-05-04T00:37:14+00:00","elasticjob294","nio","openai","run 2","FAILED","4","yes","yes","FAILED","test_failed","33999","2076","36075","20.9"

