"timestamp","container","test_type","model","run","verdict","turns_taken","input_tokens","output_tokens","total_tokens","llm_seconds"
"2026-05-02T19:48:08+00:00","jnrposixd9f3f84","od","claude","run 1","PASSED","1","10001","5222","15223","67.8"
"2026-05-02T19:51:19+00:00","jnrposixd9f3f84","od","claude","run 2","PASSED","1","9956","5189","15145","77.2"
"2026-05-02T19:52:57+00:00","jnrposixd9f3f84","od","openai","run 1","FAILED","2","17088","1174","18262","22.8"
"2026-05-02T19:54:42+00:00","jnrposixd9f3f84","od","openai","run 2","PASSED","2","16263","889","17152","11.1"
"2026-05-02T20:08:26+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","claude","run 1","PASSED","1","10733","1807","12540","28.1"
"2026-05-02T20:12:22+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","claude","run 2","PASSED","2","22009","3562","25571","55.5"
"2026-05-02T20:17:54+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","openai","run 1","PASSED","2","16738","1009","17747","13.6"
"2026-05-02T20:21:52+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","openai","run 2","FAILED","2","16784","904","17688","14.6"
"2026-05-02T20:31:35+00:00","dubbodubborpcdubborpcapiba89f44","od","claude","run 1","FAILED","2","17221","4764","21985","60.6"
"2026-05-02T20:35:07+00:00","dubbodubborpcdubborpcapiba89f44","od","claude","run 2","PASSED","2","17625","2864","20489","49.2"
"2026-05-02T20:37:58+00:00","dubbodubborpcdubborpcapiba89f44","od","openai","run 1","PASSED","2","14006","961","14967","10.7"
"2026-05-02T20:40:49+00:00","dubbodubborpcdubborpcapiba89f44","od","openai","run 2","FAILED","2","14271","835","15106","10.1"
"2026-05-02T20:44:11+00:00","dubbodubborpcdubborpcapiba89f441","od","claude","run 1","PASSED","2","18566","2280","20846","37.7"
"2026-05-02T20:47:07+00:00","dubbodubborpcdubborpcapiba89f441","od","claude","run 2","PASSED","2","16505","2515","19020","39.3"
"2026-05-02T20:49:42+00:00","dubbodubborpcdubborpcapiba89f441","od","openai","run 1","FAILED","2","12966","899","13865","9.5"
"2026-05-02T20:53:18+00:00","dubbodubborpcdubborpcapiba89f441","od","openai","run 2","FAILED","2","13283","984","14267","9.1"
"2026-05-02T22:34:13+00:00","BOOKKEEPER-846","td","claude","run 1","FAILED","1","13352","2213","15565","31.8"
"2026-05-02T22:51:20+00:00","BOOKKEEPER-846","td","claude","run 2","PASSED","2","27329","2670","29999","45.5"
"2026-05-02T23:03:55+00:00","BOOKKEEPER-846","td","openai","run 1","PASSED","2","21415","1129","22544","13.3"
"2026-05-02T23:10:15+00:00","BOOKKEEPER-846","td","claude","run 1","FAILED","1","13352","2213","15565","31.8"
"2026-05-02T23:10:15+00:00","BOOKKEEPER-846","td","claude","run 2","PASSED","2","27329","2670","29999","45.5"
"2026-05-02T23:10:15+00:00","BOOKKEEPER-846","td","openai","run 1","PASSED","2","21415","1129","22544","13.3"
"2026-05-02T23:10:15+00:00","BOOKKEEPER-846","td","openai","run 2","PASSED","2","25157","1056","26213","11.5"
"2026-05-02T23:26:23+00:00","elasticjob294","nio","claude","run 1","PASSED","2","18628","4887","23515","65.0"
"2026-05-02T23:26:23+00:00","elasticjob294","nio","claude","run 2","FAILED","2","18667","3587","22254","53.4"
"2026-05-02T23:26:23+00:00","elasticjob294","nio","openai","run 1","FAILED","2","14288","1057","15345","8.3"
"2026-05-02T23:26:23+00:00","elasticjob294","nio","openai","run 2","FAILED","2","14288","957","15245","6.9"
