,Steps Followed in Guideline (1-10),,,,,,,,,,,,Run Other Tools if Type-Assumed Tool Fails,,,,,,,,,Information Required to Reproduce Flaky Failure,,,,
APEXCORE-453,8,Yes,Yes,fdbc3f0722cf414b70cc2fab746f2952cd21f3ef,41e3975f62da287084df81c1a2c5302c3f9b2bfc,engine,com.datatorrent.stram.plan.logical.DelayOperatorTest#testFibonacci,,Yes,TD, ,,,,,,,,,,0,,,,,Not reproducible
APEXCORE-627,8,Yes,Yes,1e9896bb4bf3d1b4e2ad3772415e5f414a95cc9d,527c70bf8b4060d04d713f2b6e0ffb113a17ece6,engine,com.datatorrent.stram.engine.AtMostOnceTest,,Yes,OD, ,,,,,,,,,,0,,,,,Not reproducible
AMQ-1940,5,Yes,Yes,0ad62f722fef6c2123ef7acb116a80574a43c250,56bb079c8227a2beee609b205c001d66597db98a,activemq-core,org.apache.activemq.transport.failover.ReconnectTest#testReconnects,,No,,,,,,,,,,,,,,,,,
AMQ-1984,5,Yes,Yes,58b8d19a970c0cdba90fd6372739ae13b0891af6,81f0cc0d0417b36c95d2776eda00926cbc55157b,activemq-core,org.apache.activemq.transport.failover.ReconnectTest#testReconnects,,No,,,,,,,,,,,,,,,,,
AMQ-2072,5,Yes,Yes,2de531cb5209e0aa8ce46f18379619352583f6ba,be361fd7e66447c95f0024e75a42ee4c5b2a547f,‎activemq-core,org.apache.activemq.broker.ft.TopicMasterSlaveTest,,No,,,,,,,,,,,,,,,,,
AMQ-2123,5,Yes,Yes,3cbe388595cefa937944c3d4efabd2ebcf729974,8e6446ffcd2f811c16b14d8a4a6c2d5014cfdd39,activemq-unit-tests,org.apache.activemq.network.SimpleNetworkTest.testDurableStoreAndForward,,No,,,,,,,,,,,,,,,,,
AMQ-2078,5,Yes,Yes,2deea18cc24e4f144f2ebf8d1365de9ea3ba382d,1f00a395f895751cc8d50eccd335b004c0f77012,activemq-broker,org.apache.activemq.JmsTransactionTestSupport#testReceiveRollback,,No,,,,,,,,,,,,,,,,,
ARIES-410,5,Yes,Yes,ee2e8345a9b6aadf7c4dbfe72789b1cbb3d711c0,7d1f9bdd6b1fef44ec0324609a0af102ad4b2b51,blueprint/blueprint-itests,org.apache.aries.application.runtime.itests.BasicAppManagerTest, ,No,,,,,,,,,,,,,,,,,
ARIES-116,5,Yes,Yes,5225f9f1d7b0dc08fd52e5f99e982c9fdfdee010,eab3fad5fcea38b90bf179bcd3a03d94e712dd8f,jpa/jpa-container,org.apache.aries.jpa.container.PersistenceBundleLifecycleTest#testDefault, ,No,,,,,,,,,,,,,,,,,
ARIES-550,5,Yes,yes,ee2e8345a9b6aadf7c4dbfe72789b1cbb3d711c0,b068094755f0292e0b9d83fa64ec7857660f00cc,blueprint/blueprint-itests,org.apache.aries.application.runtime.itests.OBRResolverAdvancedTest#testDemoAppResolveFail, ,No,,,,,,,,,,,,,,,,,
ARIES-634,5,Yes,yes,0c3dca2a23e0b38ff52163bcea10edbcfc759198,2e7f41e19b2859556474bf15eddeb69fd7d5dac5,blueprint/blueprint-itests,org.apache.aries.blueprint.itests.QuiesceBlueprintTest#testBasicQuieseEmptyCounter,,No,,,,,,,,,,,,,,,,,
HBASE-27054,8,Yes,Yes,1aa07d5e6b2f1561ed84cf7b8f4f5160e8a3ffa1,cec35b6e801cc917868cc3806c976473bd5f8afe,hbase-balancer,org.apache.hadoop.hbase.master.balancer.TestStochasticLoadBalancerRegionReplicaLargeCluster#testRegionReplicasOnLargeCluster,,Yes,,,,,,,,,,,,0,,,,,Not Reproducible
CXF-3556,5,Yes,Yes,1e749f002eb58fb56d89fcf1f7398d12b15b77ab,5af5d2146837f72b70c22057d611c4fcb9862fcd,rt/javascript,org.apache.cxf.javascript.AnyTest#returnAny1, ,No,,,,,,,,,,,,,,,,,
CURATOR-254,8,Yes,Yes,9d2d6851e4c737ffe2d2dcd8ec49e946084d339d,970bd3963cdca545580460e34ccaead8e9c212f7,curator-recipes,org.apache.curator.framework.recipes.queue.TestBoundedDistributedQueue#testMulti,,Yes,TD, ,,,,,,,,,,0,,,,,Not reproducible
CAMEL-510,5,Yes,Yes,873fff3c20fd9bb475a31a179303bb7b9164b051,8b8fc36f12badca2b57496c9252842b99daef1ea,camel-core,org.apache.camel.processor.MultiCastAggregatorTest, ,No,,,,,,,,,,,,,,,,,
CAMEL-528,5,Yes,Yes,faf708c00c78dd49aab0ce6f682de4e443f5397a,264c3ed2161c361ba38b52330139c78c6ab6cce2,camel-mail,org.apache.camel.component.mail.MailFetchSizeTest#testFetchSize, ,No,,,,,,,,,,,,,,,,,
CAMEL-9133,8,Yes,No,d9713c8b4a25429900ee6465cb9d5da1694a3ac4,aeb57bf9b34658eba075574e03c6132bb07f5382,components/camel-reactor,org.apache.camel.component.reactor.engine.ReactorStreamsServiceTest#testFromStreamTimer,,Yes,,,,,,,,,,,,,,,,,
RATIS-1987,8,Yes,Yes,206205810db1cab29987b2331dac205aafd62497,863c2e8a069337f1dd1ae3f2520d118a443fa612,ratis-test,org.apache.ratis.grpc.util.TestGrpcZeroCopy#testZeroCopy,,Yes,,,,,,,,,,,,0,,,,,Not reproducible
BOOKKEEPER-1102,8,Yes,,f581e030c79abbde81bf165603fccdb5e6a1d38a,a5f8580f53464065243a9af038935f5893434166,bookkeeper-server,org.apache.bookkeeper.client.BookKeeperDiskSpaceWeightedLedgerPlacementTest#testDiskSpaceWeightedBookieSelectionWithBookiesBeingAdded,,Yes,,,,,,,,,,,,0,,,,,Not reproducible
BOOKKEEPER-29,5,Yes,Yes,de1c3b26a1162fb545c91d9cef4eed435c662a66,40b13a6b7db9d2da337dce0c7084d8c87c4d6b06,bookkeeper-server,org.apache.bookkeeper.test.BookieRecoveryTest#testAsyncBookieRecoveryToSpecificBookie,,No,,,,,,,,,,,,,,,,,
HDFS-12417,9,Yes,Yes,a6432ba5a177ec3d3a95fa79e313a9bbc531a1e7,80ee89b2871ce2b4b7387de6e410f53d798dfd0b,hadoop-hdfs-project/hadoop-hdfs,org.apache.hadoop.hdfs.TestDFSStripedOutputStreamWithFailure.testBlockTokenExpired,, Yes,,,,,,,,,,,,0,,,,,Not reproducible
LENS-1041,5,Yes,yes,3d1b48c445ccec9619c6e1da753f72f8d735a26d,efa247f07c14760c1eb83226ba15eef8eabbc01b,lens-client,org.apache.lens.client.TestLensClient#testTimeout,,No,,,,,,,,,,,,,,,,,
LENS-117,5,Yes,yes,6d87ffae70e4d7b3dc2381b54d90fa9e918be676,9a877c54111374de366b3dad86ece8b22067f683,lens-cube,org.apache.lens.cube.parse.TestTimeRangeWriterWithQuery#testCubeQueryWithTimeDim,,No,,,,,,,,,,,,,,,,,
LENS-1254,5,Yes,yes,90c710018ae56712cf91c56338d69dc0ad1ee65c,68e01c2b40b15fc1f14e6071267823d77efd317c,lens-cli,org.apache.lens.cli.TestLensQueryCommands#showPersistentResultSet,,No,,,,,,,,,,,,,,,,,
LENS-1491,5,Yes,yes,4907964324abfe1f5f1d991492aa8927012e712a,7fa91dd4ce978e93f29dbc64a28a295ce0559603,lens-server,"org.apache.lens.server.query.TestQueryService#testEstimateRejectionException,org.apache.lens.server.scheduler.SchedulerDAOTest#testSearchStoreJob",,No,,,,,,,,,,,,,,,,,
LENS-331,5,Yes,yes,4907964324abfe1f5f1d991492aa8927012e712a,0d9ada50f5b3c6b6d5d49c1b38499e972d1fda4c,lens-cli,org.apache.lens.cli.TestLensDimensionTableCommands#testDimTableCommands,,No,,,,,,,,,,,,,,,,,
LENS-368,5,Yes,yes,4907964324abfe1f5f1d991492aa8927012e712a,8c86c9b298afa455b22161bfcd0334ab2aab96c5,lens-server,org.apache.lens.server.query.TestResultFormatting#testPersistentResultWithMaxSize,,No,,,,,,,,,,,,,,,,,
LENS-37,5,Yes,yes,4907964324abfe1f5f1d991492aa8927012e712a,24653bcfb7db05bc3219c89e625f5ef9ba7dd32e,lens-server,org.apache.lens.server.query.TestQueryService#testExecuteAsyncTempTable,,No,,,,,,,,,,,,,,,,,
LENS-463,5,Yes,yes,4907964324abfe1f5f1d991492aa8927012e712a,9d47438995230c88e50912579875f20b4d3e30bc,lens-server,org.apache.lens.server.query.TestQueryEndEmailNotifier#testEmailNotification,,No,,,,,,,,,,,,,,,,,
LENS-688,8,Yes,yes,4907964324abfe1f5f1d991492aa8927012e712a,c879f991102f5f02c30c1f1cd428f4c603f2e0ec,lens-cli,org.apache.lens.cli.TestLensQueryCommands#testExecuteAsyncQuery,,No,,,,,,,,,,,,,,,,,
LENS-927,8,Yes,yes,4907964324abfe1f5f1d991492aa8927012e712a,7035de9d73f2df1e72111d43875b0e21d82feaf5,lens-cube,org.apache.lens.cube.parse.TestDenormalizationResolver.testDenormsAsDirectFields(),,No,,,,,,,,,,,,,,,,,
LENS-955,8,Yes,yes,4907964324abfe1f5f1d991492aa8927012e712a,1924bbb018cbb4aa7cf8c0b2cf11376a053e3b9d,lens-server,org.apache.lens.server.query.TestQueryEndEmailNotifier#testLaunchFailure,,No,,,,,,,,,,,,,,,,,
STORM-2516,5,Yes,Yes,"1a380ede3fb3e23db95790
703c0a5a09c9052222","7b7a8b31d3eb32d0feae1605
5590409db37bd9d4",storm-client,"org.apache.storm.topology.
WindowedBoltExecutorTest#
testExecuteWithLateTupleStream",,No, ,,,,,,,,,,,,,,,,
HADOOP-13830,5,Yes,Yes,4fca94fbdad16e845e670758939aabb7a97154d9,3fd844b99fdfae6be6e5e261f371d175aad14229,hadoop-tools/hadoop-aws,org.apache.hadoop.fs.contract.s3n.ITestS3NContractRootDir#testRecursiveRootListing,,No,,,,,,,,,,,,,,,,,
OWB-359,5,Yes,Yes,f81b1800369589fcc6c87cf0c423009bcff35023,f69de1a077f2c88ac8105b15cbb0ae117a98dd18,webbeans-impl,org.apache.webbeans.newtests.interceptors.inheritance.InheritedInterceptorTest#testLoopNormalScopeNoNewInstance,,,,,,,,,,,,,,,,,,,
