Type,Container Name,Project (Github Link),Flaky commit SHA,Fixed commit SHA,Module ,Flaky test name,Polluter/State-setter (For OD test only),Zip name
OD,ACCUMULO-2102_testSetInstance_HdfsZooInstance_HostsGiven,https://github.com/apache/accumulo,a573f96d434fb5ef3016b8f7d3d9904e4fd88d65,2654ba56f4e1a040839493096005a25f0c4925fd,core,org.apache.accumulo.core.util.shell.ShellSetInstanceTest.testSetInstance_HdfsZooInstance_HostsGiven, org.apache.accumulo.core.util.shell.ShellSetInstanceTest.testSetInstance_HdfsZooInstance_InstanceGiven,ACCUMULO-2102
OD,ACCUMULO-2102_testSetInstance_HdfsZooInstance_Explicit,https://github.com/apache/accumulo,a573f96d434fb5ef3016b8f7d3d9904e4fd88d65,2654ba56f4e1a040839493096005a25f0c4925fd,core,org.apache.accumulo.core.util.shell.ShellSetInstanceTest.testSetInstance_HdfsZooInstance_Explicit, org.apache.accumulo.core.util.shell.ShellSetInstanceTest.testSetInstance_HdfsZooInstance_InstanceGiven,ACCUMULO-2102
OD,ACCUMULO-2102_testSetInstance_HdfsZooInstance_Implicit,https://github.com/apache/accumulo,a573f96d434fb5ef3016b8f7d3d9904e4fd88d65,2654ba56f4e1a040839493096005a25f0c4925fd,core,org.apache.accumulo.core.util.shell.ShellSetInstanceTest.testSetInstance_HdfsZooInstance_Implicit, org.apache.accumulo.core.util.shell.ShellSetInstanceTest.testSetInstance_HdfsZooInstance_InstanceGiven,ACCUMULO-2102
OD,ACCUMULO-2102_testSetInstance_HdfsZooInstance_InstanceGiven,https://github.com/apache/accumulo,a573f96d434fb5ef3016b8f7d3d9904e4fd88d65,2654ba56f4e1a040839493096005a25f0c4925fd,core,org.apache.accumulo.core.util.shell.ShellSetInstanceTest.testSetInstance_HdfsZooInstance_InstanceGiven, org.apache.accumulo.core.util.shell.ShellSetInstanceTest.testSetInstance_HdfsZooInstance_HostsGiven,ACCUMULO-2102
TD,BOOKKEEPER-846,https://github.com/apache/bookkeeper,da1a2fa6b19ddcdba68834147bf6afbe5bf90cbf,26b17cba50aded931afb2e66d549fbeb8f4f1d39,bookkeeper-server,org.apache.bookkeeper.client.TestLedgerChecker.testShouldGetTwoFrgamentsIfTwoBookiesFailedInSameEnsemble,,BOOKKEEPER-846
TD,BOOKKEEPER-709,https://github.com/apache/bookkeeper,34c260bfc7db379351fa8807897603b9a9b9012b,5c3a30f8e423da51b1ee03173a336400335de3b8,bookkeeper-server,org.apache.bookkeeper.client.SlowBookieTest.testSlowBookie,,BOOKKEEPER-709
TD,YARN-9405,https://github.com/apache/hadoop,eeda6891e49bc13ae86d0193f94238b7109e291d,710cbc9bd649123cb0f742e4a91a6a216cb1ac76,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/hadoop-yarn-services/hadoop-yarn-services-core,org.apache.hadoop.yarn.service.TestYarnNativeServices.testExpressUpgrade,,YARN-9405
TD,CAMEL-17188,https://github.com/apache/camel,2b42548de6a92181b603fde12001ac0c2684d482,ff60188c9935f5d65ff9d92fee1cc62f2dc55053,core/camel-support,org.apache.camel.support.task.BackgroundTaskTest.testRunNoMoreSupplier,,CAMEL-17188
TD,HDFS-10281,https://github.com/apache/hadoop,7c9811062de0c5243561e33d51ee678a729aec17,b9c9d03591a49be31f3fbc738d01a31700bfdbc4,hadoop-hdfs-project/hadoop-hdfs,org.apache.hadoop.hdfs.server.namenode.ha.TestPendingCorruptDnMessages.testChangedStorageId,,HDFS-10281
TD,OOZIE-3683,https://github.com/apache/oozie,83f9c9e1341d96f3c105904d47f134215210c6d8,3a932ad1cd7e294576b03c48bbd28e691ad6f58b,core,org.apache.oozie.sla.TestSLACalculatorMemory.testLoadOnRestart,,OOZIE-3683
TD,OOZIE-3685,https://github.com/apache/oozie,6a7b5e0d1c46d57abb4c406379ac82e437ad2cfc,7ce603f3ec71a87b8f5b335c8c7602db9b44ed23,core,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand.testCoordActionInputCheckXCommandUniqueness,,OOZIE-3685
TD,OOZIE-3686,https://github.com/apache/oozie,87b812465fb05d2b77230a58bc1bf49bb86acdd3,6a7b5e0d1c46d57abb4c406379ac82e437ad2cfc,core,org.apache.oozie.command.wf.TestWorkflowActionRetryInfoXCommand.testRetryConsoleUrlForked,,OOZIE-3686
ID,COLLECTIONS-850-TransformedMultiValuedMapTest-testMultiValuedMapIterator,https://github.com/apache/commons,35e408717379eed0085cdb29e879209dbadc1ead,02f85e2c9f6cba3a9c76ab30e51bd9d64070977d,.,org.apache.commons.collections4.multimap.TransformedMultiValuedMapTest.testMultiValuedMapIterator,,COLLECTIONS-850
ID,COLLECTIONS-850-ArrayListValuedHashMapTest-testMultiValuedMapIterator,https://github.com/apache/commons,35e408717379eed0085cdb29e879209dbadc1ead,02f85e2c9f6cba3a9c76ab30e51bd9d64070977d,.,org.apache.commons.collections4.multimap.ArrayListValuedHashMapTest.testMultiValuedMapIterator,,COLLECTIONS-850
TD,HDFS-15702,https://github.com/apache/hadoop,d4fd675a95c16f6ecd8d8514cc3c0bef34bc9eff ,32abc0af495a7a2fe97b8ee08aac201c767c6623,hadoop-hdfs-project/hadoop-hdfs,org.apache.hadoop.hdfs.TestDecommission.testAllocAndIBRWhileDecommission,,HDFS-15702
TD,HDFS-11682,https://github.com/apache/hadoop,5e7cfdca7b73a88bf3c3f1e5eb794a24218cce52,3f5108723c6272d2fded8d3563c4b793e1d88f8b,hadoop-hdfs-project/hadoop-hdfs,org.apache.hadoop.hdfs.server.balancer.TestBalancer.testBalancerWithStripedFile,,HDFS-11682
TD,HADOOP-10394_testDoFilterAuthentication,https://github.com/apache/hadoop,d74ec9dd20cee35e9201e8a08b8bbcc76481a967,109e88bf178e5738b5a237ddacf3aea36fde62e5,hadoop-common-project/hadoop-auth,org.apache.hadoop.security.authentication.server.TestAuthenticationFilter.testDoFilterAuthentication,,HADOOP-10394
TD,HADOOP-10394_testDoFilterAuthenticationWithDomainPath,https://github.com/apache/hadoop,d74ec9dd20cee35e9201e8a08b8bbcc76481a967,109e88bf178e5738b5a237ddacf3aea36fde62e5,hadoop-common-project/hadoop-auth,org.apache.hadoop.security.authentication.server.TestAuthenticationFilter.testDoFilterAuthenticationWithDomainPath,,HADOOP-10394
TD,HADOOP-10394_testDoFilterAuthenticationWithInvalidToken,https://github.com/apache/hadoop,d74ec9dd20cee35e9201e8a08b8bbcc76481a967,109e88bf178e5738b5a237ddacf3aea36fde62e5,hadoop-common-project/hadoop-auth,org.apache.hadoop.security.authentication.server.TestAuthenticationFilter.testDoFilterAuthenticationWithInvalidToken,,HADOOP-10394
TD,HADOOP-12181,https://github.com/apache/hadoop,4492b9e7302b8c84dddec9713d8148cc6183f46b,5f688453df7191632f8556c6cb07f5b5ff605d90,hadoop-common-project/hadoop-auth,org.apache.hadoop.security.authentication.util.TestZKSignerSecretProvider.testMultipleUnsychnronized,,HADOOP-12181
TD,HADOOP-12588,https://github.com/apache/hadoop,d433b16ce6d74f1a44bc29446c74b1cb5f8a10fa,67089875f0ea2a47cca0c237fccf239bf6fe2d53,hadoop-common-project/hadoop-common,org.apache.hadoop.metrics2.impl.TestGangliaMetrics.testGangliaMetrics2,,HADOOP-12588
TD,YARN-9551,https://github.com/apache/hadoop,10ba4cc892d624f4ad97764a844a9cb8855b2c3c,b4a524722a2466ede935aefd7b24a1e08fdbf076,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common,org.apache.hadoop.yarn.client.api.impl.TestTimelineClientV2Impl.testSyncCall,,YARN-9551
TD,HBASE-27051,https://github.com/apache/hbase,a0f576cce46c8c96f97316b5fd279fd68ddd46dd,42a64f2a4d16bba121f7fd83cfe9ab0e11f0e441,hbase-server,org.apache.hadoop.hbase.replication.regionserver.TestReplicationSource.testReplicationSourceInitializingMetric,,HBASE-27051
Unclassified,BOOKKEEPER-774,https://github.com/apache/bookkeeper,e30e116fc65088aad428b4151e1ab39c73c99676,b6f33e49d0671a5b982bcb3613c5c9844f6aec8b,bookkeeper-server,org.apache.bookkeeper.test.ReadOnlyBookieTest.testBookieShouldTurnWritableFromReadOnly,,BOOKKEEPER-774
ID,SCB-2692,https://github.com/apache/servicecomb-java-chassis,f37cdb10d1aa35d14469b7613f99b23348ae5851,766ffea3d8f9e055e08ae4c3476a9e0cd05f2505,foundations/foundation-vertx,org.apache.servicecomb.foundation.vertx.http.TestAbstractHttpServletRequest.testAttribute,,SCB-2692
ID,SCB-2692-parameterMap,https://github.com/apache/servicecomb-java-chassis,f37cdb10d1aa35d14469b7613f99b23348ae5851,766ffea3d8f9e055e08ae4c3476a9e0cd05f2505,foundations/foundation-vertx,org.apache.servicecomb.foundation.vertx.http.TestStandardHttpServletRequestEx.parameterMap_merge,,SCB-2692
ID,SCB-2692-TestStandardHttpServletRequestEx,https://github.com/apache/servicecomb-java-chassis,f37cdb10d1aa35d14469b7613f99b23348ae5851,766ffea3d8f9e055e08ae4c3476a9e0cd05f2505,foundations/foundation-vertx,org.apache.servicecomb.foundation.vertx.http.TestStandardHttpServletRequestEx.setParameter,,SCB-2692
ID,SCB-2692-TestVertxServerRequestToHttpServletRequest,https://github.com/apache/servicecomb-java-chassis,f37cdb10d1aa35d14469b7613f99b23348ae5851,766ffea3d8f9e055e08ae4c3476a9e0cd05f2505,foundations/foundation-vertx,org.apache.servicecomb.foundation.vertx.http.TestVertxServerRequestToHttpServletRequest.setParameter,,SCB-2692
ID,SCB-2718,https://github.com/apache/servicecomb-java-chassis,b780639a167ca09daaae28535c91c3b022f5d27c,5f02b0a33b51dcc93fe96c833311cc0fc8d444e7,swagger/swagger-generator/generator-core,org.apache.servicecomb.swagger.generator.core.TestOperationGenerator.apiOperationThenResponse,,SCB-2718
ID,SCB-2731,https://github.com/apache/servicecomb-java-chassis,ad0b38f9de90c73526fed719fd5dba6430e653b2,94a672f6d1f27455db8d6bf4100a2daf1c397897,common/common-rest,org.apache.servicecomb.common.rest.codec.param.TestRestClientRequestImpl.testForm,,SCB-2731
ID,SCB-2731-testCookie,https://github.com/apache/servicecomb-java-chassis,ad0b38f9de90c73526fed719fd5dba6430e653b2,94a672f6d1f27455db8d6bf4100a2daf1c397897,common/common-rest,org.apache.servicecomb.common.rest.codec.param.TestRestClientRequestImpl.testCookie,,SCB-2731
ID,SCB-2731-decode_request_failed,https://github.com/apache/servicecomb-java-chassis,ad0b38f9de90c73526fed719fd5dba6430e653b2,94a672f6d1f27455db8d6bf4100a2daf1c397897,common/common-rest,org.apache.servicecomb.common.rest.filter.inner.RestServerCodecFilterTest.should_convert_exception_to_response_when_decode_request_failed,,SCB-2731
ID,SCB-2731-not-defined_any_schema,https://github.com/apache/servicecomb-java-chassis,ad0b38f9de90c73526fed719fd5dba6430e653b2,94a672f6d1f27455db8d6bf4100a2daf1c397897,common/common-rest,org.apache.servicecomb.common.rest.RestProducerInvocationCreatorTest.should_failed_when_not_defined_any_schema,,SCB-2731
ID,SCB-2731-not_support,https://github.com/apache/servicecomb-java-chassis,ad0b38f9de90c73526fed719fd5dba6430e653b2,94a672f6d1f27455db8d6bf4100a2daf1c397897,common/common-rest,org.apache.servicecomb.common.rest.RestProducerInvocationCreatorTest.should_failed_when_accept_is_not_support,,SCB-2731
ID,SCB-2731-traceIdGeneratorInit,https://github.com/apache/servicecomb-java-chassis,ad0b38f9de90c73526fed719fd5dba6430e653b2,94a672f6d1f27455db8d6bf4100a2daf1c397897,core,org.apache.servicecomb.core.TestInvocation.traceIdGeneratorInit,,SCB-2731
Unclassified,RATIS-506,https://github.com/apache/ratis,b6cb1dd2f5732bd731fc0e671900086a5b4b6713,97c152bb2fbabf462d32e6ebb05dfb30f4ed9a18,ratis-test,org.apache.ratis.server.simulation.TestServerRestartWithSimulatedRpc.testRestartCommitIndex,,RATIS-506
Unclassified,HDFS-15904,https://github.com/apache/hadoop,cd44e917d0b331a2d1e1fa63fdd498eac01ae323,261191cbc06cf28e656085e7e6633e80fc1f17a9,hadoop-hdfs-project/hadoop-hdfs,org.apache.hadoop.hdfs.server.balancer.TestBalancer.testBalancerWithSortTopNodes,,HDFS-15904
