HyperMinHash-java,JavaMOP,,ValgJ (only monitor),,ValgJ,,TraceMOP,,,ValgT (only monitor),,,ValgT,,
,time,violations,time,violations,time,violations,time,violations,unique traces,time,violations,unique traces,time,violations,unique traces
,171.66,12 (1),138.62,12 (1),139.08,9 (1),316.62,12 (1),33218916 (78),190.63,12 (1),283708 (56),189.53,12 (1),270925 (54)
rtree2,JavaMOP,,ValgJ (only monitor),,ValgJ,,TraceMOP,,,ValgT (only monitor),,,ValgT,,
,time,violations,time,violations,time,violations,time,violations,unique traces,time,violations,unique traces,time,violations,unique traces
,193.47,19 (4),198.29,19 (4),84.22,4 (4),314.31,19 (4),24406590 (1820),216.81,19 (4),887366 (1652),96.25,4 (4),640134 (1633)
rtree,JavaMOP,,ValgJ (only monitor),,ValgJ,,TraceMOP,,,ValgT (only monitor),,,ValgT,,
,time,violations,time,violations,time,violations,time,violations,unique traces,time,violations,unique traces,time,violations,unique traces
,311.71,84043 (18),275.55,42043 (18),132.92,21 (18),994.94,84043 (18),88096299 (2846),329.2,42042 (18),1593849 (1985),146.61,21 (18),1617604 (1978)
dictomaton,JavaMOP,,ValgJ (only monitor),,ValgJ,,TraceMOP,,,ValgT (only monitor),,,ValgT,,
,time,violations,time,violations,time,violations,time,violations,unique traces,time,violations,unique traces,time,violations,unique traces
,137.09,763 (24),113.36,108 (24),113.74,175 (24),323.77,763 (24),42763179 (13851),177.65,106 (24),5534546 (12517),171.97,104 (24),5543515 (12486)
osm-lib,JavaMOP,,ValgJ (only monitor),,ValgJ,,TraceMOP,,,ValgT (only monitor),,,ValgT,,
,time,violations,time,violations,time,violations,time,violations,unique traces,time,violations,unique traces,time,violations,unique traces
,82.47,4380672 (6),65.69,4380672 (6),67.29,18900 (6),192.69,4380672 (6),16871161 (3514),117.32,4380672 (6),724632 (3185),116.31,58982 (6),794780 (3200)
xeger,JavaMOP,,ValgJ (only monitor),,ValgJ,,TraceMOP,,,ValgT (only monitor),,,ValgT,,
,time,violations,time,violations,time,violations,time,violations,unique traces,time,violations,unique traces,time,violations,unique traces
,35.21,4202 (1),31.68,325 (1),28.79,202 (1),106.52,4202 (1),15784127 (2765),39.68,233 (1),667127 (1721),39.42,215 (1),668533 (1733)
bplustree,JavaMOP,,ValgJ (only monitor),,ValgJ,,TraceMOP,,,ValgT (only monitor),,,ValgT,,
,time,violations,time,violations,time,violations,time,violations,unique traces,time,violations,unique traces,time,violations,unique traces
,597.24,11 (6),337.27,11 (6),499.46,11 (6),758.65,11 (6),63527054 (191),637.21,11 (6),171446 (162),550.91,11 (6),170233 (156)
rtree-multi,JavaMOP,,ValgJ (only monitor),,ValgJ,,TraceMOP,,,ValgT (only monitor),,,ValgT,,
,time,violations,time,violations,time,violations,time,violations,unique traces,time,violations,unique traces,time,violations,unique traces
,198.4,21 (6),187.24,21 (6),93.81,6 (6),363.48,21 (6),27821359 (38121),232.19,21 (6),1320480 (5536),134.02,6 (6),1160725 (5559)
databuilderframework,JavaMOP,,ValgJ (only monitor),,ValgJ,,TraceMOP,,,ValgT (only monitor),,,ValgT,,
,time,violations,time,violations,time,violations,time,violations,unique traces,time,violations,unique traces,time,violations,unique traces
,341.92,36464 (3),232.83,18463 (3),255.1,464 (3),537.65,36464 (3),52035791 (1465),260.9,18463 (3),2781170 (1339),256.55,464 (3),2737367 (1328)
jieba-analysis,JavaMOP,,ValgJ (only monitor),,ValgJ,,TraceMOP,,,ValgT (only monitor),,,ValgT,,
,time,violations,time,violations,time,violations,time,violations,unique traces,time,violations,unique traces,time,violations,unique traces
,64.9,1698993 (3),55.63,76641 (3),54.41,154853 (3),164.36,1698993 (3),18908140 (1096),90.89,158678 (3),757897 (696),90.73,175078 (3),716215 (664)
