HyperMinHash-java,JavaMOP,,JavaMOP + ps1c,,Valg + ps1c,,JavaMOP + ps3cl,,Valg + ps3cl,
,time,violation,time,violation,time,violation,time,violation,time,violation
4508cc40654f1d7843223f922164e0ec77f6b059,163.62,12(1),171.93,12(1),140.05,12(1),172.33,12(1),138.66,12(1)
64b2f63435a4de779c5e734c19c2daa0c719a192,168.65,12(1),3.99,0(0),2.65,0(0),2.68,0(0),2.64,0(0)
af31edaf366d7707d5594a602f1822e4aada9862,161.13,12(1),2.14,0(0),2.14,0(0),2.19,0(0),2.12,0(0)
11c2329c451a233407f7c15d7ee80d4e95f8bc50,169.1,12(1),2.17,0(0),2.14,0(0),2.15,0(0),2.11,0(0)
0ec1c3f5fc0b89edddccc0148bcebe973e2b84f6,168.08,12(1),2.17,0(0),2.23,0(0),2.13,0(0),2.08,0(0)
f2a310454baeb4c8a56781d9a673d01dfbe3e8f6,168.26,12(1),2.1,0(0),2.15,0(0),2.15,0(0),2.17,0(0)
2aa8a810929465112b360e5a7b5288498bae9f9c,167.06,12(1),2.1,0(0),2.24,0(0),2.19,0(0),2.07,0(0)
6ece72dfdbbb9acb3df413e08ec87639c9658f07,168.35,12(1),2.18,0(0),2.15,0(0),2.15,0(0),2.12,0(0)
31d03f7ff0d92677d169f2bb7522382fb90d20a4,167.36,12(1),2.21,0(0),2.22,0(0),2.22,0(0),2.09,0(0)
61121a3144a2577af26980b7077943a5af204c34,168.31,12(1),2.23,0(0),2.16,0(0),2.14,0(0),2.11,0(0)
f7bb68bee6fb473abafbc3d9b1287dc23276c296,163.19,12(1),104.69,12(1),106.88,12(1),92.35,0(0),98.15,0(0)
bdff2253d3e3c72c09714051cc82af3d65f65be3,168.6,12(1),2.38,0(0),2.89,0(0),2.48,0(0),2.3,0(0)
d2d63828156449cd24650c4af10c2625931a6dc5,163.59,12(1),164,12(1),132.63,12(1),143.88,12(1),123.57,11(1)
6d475e3c8afa180947cd75b1553ce22e6257a59f,169.16,12(1),150.38,12(1),135.46,12(1),131.39,0(0),98.09,0(0)
7506e281f9f711cd454a09395c5ffe75473d441c,164.44,12(1),3.93,0(0),2.6,0(0),2.73,0(0),2.2,0(0)
3f8e63b03210673c4735fd5aba34cd5f34cecdaf,164.89,12(1),2.16,0(0),2.17,0(0),2.17,0(0),2.17,0(0)
69d6867977ec9aa6ee89832e21b5b296c07f7810,172.73,12(1),2.68,0(0),2.69,0(0),2.66,0(0),2.67,0(0)
fa6e208f4f4fe7fa28ab05ec391e42d33bba813b,163.62,12(1),3.84,0(0),3.68,0(0),3.73,0(0),3.68,0(0)
9f5267dbaab4d82dcaf2eff4ceb4d9a1599bfeae,170.93,12(1),2.18,0(0),2.05,0(0),2.1,0(0),2.19,0(0)
rtree2,JavaMOP,,JavaMOP + ps1c,,Valg + ps1c,,JavaMOP + ps3cl,,Valg + ps3cl,
,time,violation,time,violation,time,violation,time,violation,time,violation
f59676947fd463546259f5a9593161c1f60084d5,184.94,19(4),191.68,19(4),87.51,4(4),191.44,19(4),88.01,4(4)
dbe602c748373a758bfca36db462cd129b731649,200.56,19(4),3.34,0(0),3.17,0(0),3.32,0(0),3.35,0(0)
7fe6a3a9eb8343ad13aacc4476fd1353906e7ebf,210.51,19(4),9.08,0(0),4.26,0(0),4.42,0(0),4.36,0(0)
ef6504505104920470ceac00909684be07ec064a,182.5,19(4),4.61,0(0),4.15,0(0),5.14,0(0),4.17,0(0)
01c7e59991a7f6eb4f21bbd1a80d91e6dbe0e257,185.37,19(4),4.35,0(0),4.19,0(0),4.44,0(0),4.15,0(0)
f8003576803f4b4b3fec2038fd67e8e3a3335219,212.17,19(4),4.36,0(0),4.17,0(0),5.92,0(0),4.21,0(0)
019cd563a4f212d54847285005206cda4eca751b,184.37,19(4),5.36,0(0),4.56,0(0),4.24,0(0),4.12,0(0)
1d401377897192b6106ebedf33c5861c56f06f86,186.22,19(4),4.22,0(0),4.22,0(0),4.21,0(0),4.1,0(0)
5eda23e8778e55e44658271112a12bf4fab3117a,182.17,19(4),5.42,0(0),4.22,0(0),4.77,0(0),4.15,0(0)
83b5570b156456d9447634361ce1695e983726ab,207.95,19(4),4.59,0(0),4.21,0(0),4.76,0(0),4.21,0(0)
501ad786686f05815ae03df0954a1a90f9d1927e,203.7,19(4),3.37,0(0),2.54,0(0),2.68,0(0),2.61,0(0)
8516cf6bbb1127ae8df34a4a2d04fde32e651c53,211.53,19(4),3.11,0(0),2.62,0(0),3.02,0(0),2.59,0(0)
d1edeab77eeaf7c7274e5776b3130a12365609db,209.49,19(4),3.03,0(0),2.68,0(0),2.81,0(0),2.61,0(0)
f0a6311d9a5d6e21e0a5ed42092219789bc2ff64,187.07,19(4),5.18,0(0),4.15,0(0),6.48,0(0),4.52,0(0)
1bacb20528f8ef712dc780f8cc77ecc9ff002265,205.37,19(4),2.94,0(0),2.56,0(0),2.67,0(0),2.68,0(0)
4a16a0a357f1e7c731a417d1ef04849d10f9075c,181.38,19(4),2.59,0(0),2.58,0(0),3.03,0(0),2.65,0(0)
22b2c1c2697b7892c7998dc60579e860917f5c84,208.4,19(4),5.77,0(0),4.18,0(0),4.32,0(0),4.39,0(0)
