xeger,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),xeger,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"41,579","35,112","4,202 (1)",TraceMOP,"159,034","131,061","15,784,312","2,513","4,202 (1)"
ValgJ,"32,622","19,057",216 (1),ValgT,"72,349","31,443","920,371","2,183",209 (1)
javadbf,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),javadbf,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"34,926","55,186",529 (3),TraceMOP,"37,766","56,658","137,445",278,505 (2)
ValgJ,"42,235","30,923",498 (3),ValgT,"49,888","30,005","7,559",219,273 (2)
QLExpress,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),QLExpress,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"336,859","292,794",2 (2),TraceMOP,"1,909,412","1,230,969","66,570,615","134,556",1 (1)
ValgJ,"331,293","266,452",2 (2),ValgT,"1,157,913","680,170","2,646,789","126,116",1 (1)
stringsearchalgorithms,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),stringsearchalgorithms,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"189,519","181,086","7,744 (21)",TraceMOP,"909,788","841,297","71,163,374","4,862","2,437 (16)"
ValgJ,"132,274","93,002",397 (21),ValgT,"295,079","136,528","264,581","3,390",476 (16)
almson-refcount,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),almson-refcount,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"58,483","2,489,525",0 (0),TraceMOP,"69,879","2,836,822","5,000,212",27,0 (0)
ValgJ,"20,041","4,048",0 (0),ValgT,"17,736","3,066","6,107",27,0 (0)
jackson-antpathfilter,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),jackson-antpathfilter,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"132,314","1,292,572",0 (0),TraceMOP,"320,788","2,324,675","10,690,033",435,0 (0)
ValgJ,"55,952","32,032",0 (0),ValgT,"75,584","41,923","406,763",437,0 (0)
asterisk-java,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),asterisk-java,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"268,152","193,431","260,002,110 (5)",TraceMOP,"4,382,673","4,017,129","148,942","4,508","260,000,110 (3)"
ValgJ,"111,830","15,743",112 (5),ValgT,"3,943,923","671,820","21,325","4,279",105 (3)
attoparser,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),attoparser,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"446,955","524,716",0 (0),TraceMOP,"3,523,499","2,822,549","219,116,510",992,0 (0)
ValgJ,"333,437","214,576",0 (0),ValgT,"731,417","286,666","3,613,600",826,0 (0)
route53-infima,Execution Time (ms),Monitoring Saving (ms),Violations (Unique),route53-infima,Execution Time (ms),Monitoring Saving (ms),Duplicated Traces,Unique Traces,Violations (Unique)
JavaMOP,"25,698","28,193","1,592 (8)",TraceMOP,"86,183","67,151","7,106,293",816,0 (0)
