xeger,Execution Time (ms),Violations (Unique),xeger,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"32,696",246 (1),ValgT,"56,342","681,274","1,730"
RS1,"39,937",435 (1),RS1,"81,677","1,577,207","1,693"
RS5,"39,860","2,082 (1)",RS5,"124,239","7,893,929","1,931"
QLExpress,Execution Time (ms),Violations (Unique),QLExpress,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"329,412",2 (2),ValgT,"1,106,526","2,237,373","121,419"
RS1,"359,434",1 (1),RS1,"549,777","6,684,743","10,364"
RS5,"276,028",1 (1),RS5,"1,000,560","33,395,786","69,050"
stringsearchalgo,Execution Time (ms),Violations (Unique),stringsearchalgo,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"131,281",349 (21),ValgT,"288,702","273,454","3,430"
RS1,"197,029","5,527 (21)",RS1,"380,398","7,113,921","2,244"
RS5,"195,571","6,506 (21)",RS5,"596,348","35,585,813","4,124"
route53-infima,Execution Time (ms),Violations (Unique),route53-infima,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"22,231",8 (8),ValgT,"45,267","858,174",592
RS1,,"1,592 (8)",RS1,"45,671","710,838",333
RS5,"26,756","1,592 (8)",RS5,"65,619","3,553,142",571
choco-graph,Execution Time (ms),Violations (Unique),choco-graph,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"171,232",417 (5),ValgT,"1,106,686","721,624","3,556"
RS1,"193,259","380,417 (5)",RS1,"482,241","1,515,720","2,289"
RS5,"177,961","380,609 (4)",RS5,"1,160,683","7,580,590","7,335"
java-concurrent-hash..,Execution Time (ms),Violations (Unique),java-concurrent-hash..,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"36,648",270 (7),ValgT,"172,563","10,150","2,228"
RS1,"41,313",462 (1),RS1,"126,863","31,781",268
RS5,"40,998","2,418 (6)",RS5,"165,340","158,850","1,165"
osm-lib,Execution Time (ms),Violations (Unique),osm-lib,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"73,508","21,008 (6)",ValgT,"205,404","709,132","3,160"
RS1,"101,926","4,340,077 (6)",RS1,"215,841","1,687,361","1,519"
RS5,"106,718","4,350,342 (6)",RS5,"271,428","8,410,629","2,802"
java-uuid-generator,Execution Time (ms),Violations (Unique),java-uuid-generator,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"22,402",2 (2),ValgT,"132,819","62,939",127
RS1,"40,875",2 (2),RS1,"80,949","2,083,086",79
RS5,"38,947",2 (2),RS5,"98,346","10,416,483",114
bplustree,Execution Time (ms),Violations (Unique),bplustree,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"121,471",11 (6),ValgT,"254,811","174,635",183
RS1,"159,516",0 (0),RS1,"313,876","6,350,056",92
RS5,"141,144",9 (6),RS5,"416,506","31,766,053",151
rtree-multi,Execution Time (ms),Violations (Unique),rtree-multi,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"101,927",6 (6),ValgT,"141,778","834,119","5,400"
RS1,"245,340",16 (1),RS1,"182,442","1,996,509","6,768"
RS5,"240,539",20 (5),RS5,"232,067","9,983,531","22,465"
jpoker,Execution Time (ms),Violations (Unique),jpoker,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"65,404",6 (6),ValgT,"185,742","113,311",973
RS1,"146,914",4 (4),RS1,,,
RS5,"143,685",4 (4),RS5,"490,893","48,080,383",978
java-vector-tile,Execution Time (ms),Violations (Unique),java-vector-tile,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"102,508",47 (13),ValgT,"1,874,545","490,702","1,989"
RS1,"108,664",6 (5),RS1,"179,000","1,523,567",837
RS5,"104,290",35 (7),RS5,"3,192,452","7,613,593","1,914"
Fuzzino,Execution Time (ms),Violations (Unique),Fuzzino,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"88,474",165 (15),ValgT,"1,305,759","116,437","6,344"
RS1,"232,845",34 (8),RS1,"407,093","48,516","3,401"
RS5,"193,721",158 (11),RS5,"1,056,207","249,866","5,985"
progex,Execution Time (ms),Violations (Unique),progex,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"59,475",60 (4),ValgT,"90,563","1,134,514","21,368"
RS1,"70,741",51 (2),RS1,"129,298","2,039,042","24,778"
RS5,"70,874",315 (4),RS5,"199,742","10,237,681","39,336"
jlemmagen,Execution Time (ms),Violations (Unique),jlemmagen,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"105,801",249 (3),ValgT,"10,745","76,226",877
RS1,"301,783",343 (2),RS1,"11,540","125,746",430
RS5,"301,219","1,743 (3)",RS5,"15,330","629,987","1,285"
jieba-analysis,Execution Time (ms),Violations (Unique),jieba-analysis,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"69,795","64,882 (3)",ValgT,"153,645","974,886",691
RS1,"82,307","138,773 (3)",RS1,"159,235","1,889,206",641
RS5,"83,181","812,073 (3)",RS5,"232,730","9,455,011",917
jackcess,Execution Time (ms),Violations (Unique),jackcess,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"157,720","580,751 (39)",ValgT,"308,931","942,503","19,610"
RS1,"202,528","516,628 (20)",RS1,"345,885","3,963,438","12,150"
RS5,"211,009","2,783,668 (35)",RS5,"706,011","19,851,593","31,387"
HyperMinHash-java,Execution Time (ms),Violations (Unique),HyperMinHash-java,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"162,927",12 (1),ValgT,"318,147","260,994",50
RS1,"174,538",1 (1),RS1,"297,406","3,320,537",70
RS5,"203,406",6 (1),RS5,"380,205","16,608,216",79
dictomaton,Execution Time (ms),Violations (Unique),dictomaton,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"133,423",114 (24),ValgT,"249,744","5,524,051","12,470"
RS1,"162,104",76 (11),RS1,"258,360","4,276,142","4,829"
RS5,"161,828",394 (23),RS5,"382,193","21,378,924","10,756"
ik-analyzer,Execution Time (ms),Violations (Unique),ik-analyzer,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"71,084",2 (1),ValgT,"133,861","896,259",934
RS1,"91,266",1 (1),RS1,"146,743","2,881,561",871
RS5,"93,705",1 (1),RS5,"196,476","14,409,079",904
functional-utils,Execution Time (ms),Violations (Unique),functional-utils,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"21,052",69 (6),ValgT,"44,390","2,041",472
RS1,"249,432",14 (4),RS1,"30,448",924,223
RS5,"423,586",79 (6),RS5,"51,435","4,584",590
rtree,Execution Time (ms),Violations (Unique),rtree,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"147,289",21 (18),ValgT,"227,047","2,548,530","1,985"
RS1,"406,291","84,032 (9)",RS1,"281,361","3,291,300","1,336"
RS5,"401,133","84,037 (13)",RS5,"372,223","16,570,732","2,249"
Jaba,Execution Time (ms),Violations (Unique),Jaba,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"98,844","35,040 (2)",ValgT,"169,419","2,796,082","2,057"
RS1,"108,971","120,172 (2)",RS1,"151,723","2,210,107","2,315"
RS5,"112,792","598,046 (2)",RS5,"234,670","11,065,077","4,218"
PointCloudUtilities,Execution Time (ms),Violations (Unique),PointCloudUtilities,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"54,843",13 (4),ValgT,"193,548","114,126","41,345"
RS1,"69,208","79,709 (4)",RS1,"134,250","673,781","7,895"
RS5,"66,390","79,855 (4)",RS5,"194,591","3,363,121","28,088"
databuilderframework,Execution Time (ms),Violations (Unique),databuilderframework,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"217,596",242 (3),ValgT,"273,309","2,498,316","1,207"
RS1,"274,728","35,996 (2)",RS1,"421,937","5,200,327",833
RS5,"297,609","36,464 (3)",RS5,"522,880","26,015,107","1,304"
