xeger,Execution Time (ms),Violations (Unique),xeger,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"32,359",237 (1),ValgT,"59,373","669,972","1,731"
Valg_alpha,"38,299",243 (1),Valg_alpha,"86,927","5,255,150","1,724"
Valg_epsilon,"36,842","1,048 (1)",Valg_epsilon,"69,245","2,293,621","1,072"
QLExpress,Execution Time (ms),Violations (Unique),QLExpress,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"312,990",2 (2),ValgT,"1,074,605","3,054,042","129,786"
Valg_alpha,"337,693",2 (2),Valg_alpha,"934,870","2,418,384","117,657"
Valg_epsilon,"336,247",2 (2),Valg_epsilon,"1,043,612","3,335,518","98,721"
stringsearchalgo,Execution Time (ms),Violations (Unique),stringsearchalgo,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"130,285",340 (21),ValgT,"262,487","300,272","3,284"
Valg_alpha,"130,087",494 (21),Valg_alpha,"290,822","259,957","3,341"
Valg_epsilon,"130,132",793 (21),Valg_epsilon,"310,880","434,970","3,935"
route53-infima,Execution Time (ms),Violations (Unique),route53-infima,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"25,533",8 (8),ValgT,"40,028","734,437",768
Valg_alpha,"23,143",8 (8),Valg_alpha,"42,696","854,579",510
Valg_epsilon,"25,163",8 (8),Valg_epsilon,"73,202","950,042",562
choco-graph,Execution Time (ms),Violations (Unique),choco-graph,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"168,934",426 (5),ValgT,"1,639,802","719,314","4,901"
Valg_alpha,"170,827",91 (5),Valg_alpha,"1,088,590","719,573","4,846"
Valg_epsilon,"172,535",411 (5),Valg_epsilon,"1,102,349","1,396,684","5,289"
java-concurrent-hash..,Execution Time (ms),Violations (Unique),java-concurrent-hash..,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"36,713",241 (7),ValgT,"175,877","10,257","2,183"
Valg_alpha,"35,731",290 (7),Valg_alpha,"184,435","11,107","2,312"
Valg_epsilon,"37,974",716 (7),Valg_epsilon,"185,035","46,779","2,237"
osm-lib,Execution Time (ms),Violations (Unique),osm-lib,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"73,628","58,982 (6)",ValgT,"207,293","723,806","3,205"
Valg_alpha,"74,904","11,173 (6)",Valg_alpha,"195,073","1,885,125","2,368"
Valg_epsilon,"74,990","29,198 (6)",Valg_epsilon,"203,775","1,239,837","3,217"
java-uuid-generator,Execution Time (ms),Violations (Unique),java-uuid-generator,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"21,537",2 (2),ValgT,"143,214","62,867",127
Valg_alpha,"19,493",2 (2),Valg_alpha,"143,417","62,672",135
Valg_epsilon,"20,408",2 (2),Valg_epsilon,"178,723","180,384",135
bplustree,Execution Time (ms),Violations (Unique),bplustree,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"122,357",11 (6),ValgT,"298,214","171,376",162
Valg_alpha,"103,838",11 (6),Valg_alpha,"306,917","172,869",151
Valg_epsilon,"123,170",11 (6),Valg_epsilon,"259,428","191,553",183
rtree-multi,Execution Time (ms),Violations (Unique),rtree-multi,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"106,537",6 (6),ValgT,"147,831","1,125,918","5,346"
Valg_alpha,"106,799",6 (6),Valg_alpha,"164,248","2,118,974","5,666"
Valg_epsilon,"106,249",6 (6),Valg_epsilon,"158,593","1,466,690","11,061"
