,TraceMOP (1),TraceMOP (2),TraceMOP (3),Valg
jlemmagen,"2,105","2,111","2,106","2,027"
almson-refcount,27,27,27,28
TurkishDeasciifier,"5,210","5,203","5,207","5,298"
route53-infima,823,842,820,844
functional-utils,925,925,925,923
javadbf,278,278,278,273
TurkishPropBank,96,96,96,98
xeger,"2,925","2,634","2,200","2,559"
jackson-antpathfilter,434,435,437,466
uuid-creator,209,209,209,212
ef-redis,83,83,83,83
gramtest,"1,180","1,182","1,184","1,087"
TurkishSentiNet,34,34,34,34
consistent-hash-algo..,31,31,31,31
rtree2,"1,824","1,829","1,818","1,743"
progex,"47,389","45,291","41,614","38,280"
ik-analyzer,929,929,929,936
java-uuid-generator,127,135,127,135
AnomalyDetectTool,691,691,687,692
jieba-analysis,"1,096","1,096","1,096","1,075"
cocolian-nlp,"34,526","35,793","34,003","34,904"
java-concurrent-hash..,"2,299","2,255","2,323","2,410"
rtree-multi,"38,435","37,586","37,909","18,792"
time-series-math,"542,432","542,432","542,432","542,383"
Jaba,"4,975","4,975","4,974","4,092"
jpoker,"1,729","1,729","1,729","1,729"
osm-lib,"3,515","3,518","3,518","3,480"
PointCloudUtilities,"41,000","42,429","42,038","42,680"
geogrid,68,68,68,69
rtree,"2,846","2,847","2,846","2,090"
dictomaton,"13,852","13,853","13,852","13,359"
ASM-NonClassload..,"41,833","41,833","41,833","41,756"
databuilderframework,"1,478","1,465","1,466","1,469"
HyperMinHash-java,78,78,78,81
cassette-nibbler,"24,145","24,392","25,529","20,246"
pgs-calc,"7,746","7,751","7,751","10,051"
stringsearchalgo..,"4,860","4,858","4,858","4,638"
bplustree,191,191,191,189
sensitive-word,312,312,312,309
jackcess,"46,812","48,737","48,095","35,411"
kiara,"104,713","104,707","104,725","89,531"
TurkishSpellChecker,"25,788","26,641","26,583","28,174"
btree4j,"1,530","1,525","1,510",946
java.math.expression..,135,135,135,135
vowpal-wabbit-java,280,280,280,241
attoparser,992,992,992,960
jcunit,"7,582","7,582","7,582","7,457"
JaroWinklerSimilarity,"11,299","11,612","11,669","11,503"
QLExpress,"134,561","134,561","134,561","134,347"
Fuzzino,"7,007","7,007","7,007","6,832"
choco-graph,"12,422","12,419","12,395","10,575"
SparseBitSet,"21,476","21,502","21,450","21,597"
asterisk-java,"4,477","4,479","4,428","4,505"
java-vector-tile,"2,697","2,697","2,697","2,572"
finmath-lib,"7,579","7,570","7,569","7,529"
java-future-jdk8,124,124,124,125
orientdb-jdbc,"862,313","870,544","866,304","864,710"
