project,index,sha,test_time,javamop,ValgJ_default,ValgJ_optimal,tracemop,ValgT_default,ValgT_optimal
ASM-NonClassloadingExtensions,1,35c367e44ac103b5248fa8726883b854c0c37ada,36718 ms,86479 ms (2),"71010 ms (2, 100.0%)","72466 ms (2, 100.0%)",185592 ms (304),"99031 ms (236, 77.63%)","100844 ms (291, 95.72%)"
,2,429695b6ea6c0a80f8b38982bf4ea28121c94833,36637 ms,85252 ms (2),"70216 ms (2, 100.0%)","72829 ms (2, 100.0%)",167491 ms (304),"99201 ms (247, 81.25%)","110972 ms (296, 97.37%)"
,3,5b31cf0b9d10bc585e98fb2dc9bf37e364194f67,36207 ms,84251 ms (2),"71707 ms (2, 100.0%)","76609 ms (2, 100.0%)",163137 ms (304),"98328 ms (247, 81.25%)","100139 ms (292, 96.05%)"
,4,e9e2f10b89882a6646ea8a64165a40607f809d45,36673 ms,84253 ms (2),"69366 ms (2, 100.0%)","72275 ms (2, 100.0%)",159217 ms (304),"99384 ms (229, 75.33%)","99495 ms (293, 96.38%)"
,5,9791590ce562979a33f37b5bab6be31fd18a3a74,36763 ms,83642 ms (2),"75041 ms (2, 100.0%)","72532 ms (2, 100.0%)",162615 ms (304),"98086 ms (243, 79.93%)","100195 ms (290, 95.39%)"
,6,a79a23ec7a310c13ce34040d2fe87a518300ef1c,37296 ms,84393 ms (2),"71334 ms (2, 100.0%)","72185 ms (2, 100.0%)",163910 ms (304),"100640 ms (230, 75.66%)","101841 ms (294, 96.71%)"
,7,6d8de1cf92a63d3aa90039306706aeb2c619dad2,37054 ms,86979 ms (2),"73753 ms (2, 100.0%)","74478 ms (2, 100.0%)",161245 ms (304),"100732 ms (241, 79.28%)","102374 ms (293, 96.38%)"
,8,8fee8cd8b591b42ceb3192122be1f984e540a93b,36226 ms,81205 ms (2),"73321 ms (2, 100.0%)","73291 ms (2, 100.0%)",162042 ms (304),"100285 ms (240, 78.95%)","102946 ms (291, 95.72%)"
,9,3ed3bb9c11a2bbcc18ffd21fbd06d6ff224d52e3,36074 ms,81885 ms (2),"72921 ms (2, 100.0%)","73303 ms (2, 100.0%)",160995 ms (304),"101816 ms (240, 78.95%)","102262 ms (299, 98.36%)"
,10,f6c5c201d07d41cfc754f66571d50d2cbdcb9425,36020 ms,79119 ms (2),"73253 ms (2, 100.0%)","74591 ms (2, 100.0%)",161130 ms (304),"101673 ms (231, 75.99%)","104674 ms (294, 96.71%)"
,11,61f0d18acf372b37b1550fc543f5cf7735aafe6c,3102 ms,12797 ms (0),10747 ms (0),11508 ms (0),13187 ms (60),"10962 ms (57, 95.0%)","11536 ms (56, 93.33%)"
,12,3734f889009af53756787ebffc6d0b672df53353,3141 ms,12412 ms (0),10929 ms (0),11450 ms (0),13039 ms (60),"11322 ms (55, 91.67%)","11195 ms (54, 90.0%)"
,13,a8cbbd6c13f9d359754982f84b34ce081e7489e6,3107 ms,12609 ms (0),11417 ms (0),11890 ms (0),12711 ms (60),"11486 ms (57, 95.0%)","11490 ms (59, 98.33%)"
,14,8ff5914edcdee1db4e7409ef94eb6c39f7a7db67,3080 ms,12559 ms (0),11275 ms (0),10977 ms (0),13052 ms (60),"11089 ms (59, 98.33%)","11102 ms (57, 95.0%)"
,15,754f1a3924f5c4b276343492fda44a5e9a97f62c,3178 ms,12888 ms (0),11155 ms (0),11173 ms (0),12642 ms (60),"11518 ms (56, 93.33%)","11109 ms (58, 96.67%)"
,16,54e0f5093720136827440822a19aba42716b8bf3,3034 ms,12833 ms (0),11000 ms (0),11985 ms (0),12442 ms (60),"12984 ms (60, 100.0%)","11216 ms (56, 93.33%)"
,17,72aa842cce4a28b28764115c355b09e356d0332d,36720 ms,80846 ms (2),"71085 ms (2, 100.0%)","72842 ms (2, 100.0%)",159880 ms (304),"99602 ms (244, 80.26%)","104712 ms (296, 97.37%)"
,18,69004c9ded9e0741538830f0aeed158502c4f560,43761 ms,138567 ms (2),"116190 ms (2, 100.0%)","122088 ms (2, 100.0%)",303520 ms (40908),"166646 ms (9991, 24.42%)","185585 ms (35716, 87.31%)"
,19,a16b171f82b6cb4f26eebb0e884cb0ebd094ff67,42557 ms,142106 ms (2),"116017 ms (2, 100.0%)","122892 ms (2, 100.0%)",332908 ms (40908),"165320 ms (9851, 24.08%)","181419 ms (35652, 87.15%)"
,20,71c353ea500782adf80cca23c3498e98a41e8b76,44106 ms,149890 ms (2),"114701 ms (2, 100.0%)","122483 ms (2, 100.0%)",333481 ms (40908),"163971 ms (9886, 24.17%)","184244 ms (35757, 87.41%)"
,21,275978c5183880463db36ff361a2b7e5cba58f21,44415 ms,142266 ms (2),"114494 ms (2, 100.0%)","121979 ms (2, 100.0%)",339341 ms (40908),"164236 ms (9916, 24.24%)","185115 ms (35760, 87.42%)"
,22,d2201dd4eb1392de98503f28b19c277e4fd358c8,43463 ms,176303 ms (2),"151002 ms (2, 100.0%)","155761 ms (2, 100.0%)",368647 ms (41853),"204187 ms (10661, 25.47%)","218913 ms (36645, 87.56%)"
,23,a5125f9c09eaf3ac828139c57189e2258693b644,43869 ms,177731 ms (2),"154173 ms (2, 100.0%)","156776 ms (2, 100.0%)",359779 ms (41853),"231244 ms (10901, 26.05%)","222077 ms (36488, 87.18%)"
